Temperature (°C),Relative Humidity,UVB Radiation (W/m²),UV Index,UVA Radiation (W/m²),Specific Humidity (g/kg),Relative Humidity (%),Precipitation (mm),Wind Speed (10m) (m/s),"Is Holiday (1=Open, 0=Closed)",Year,Month,Day,Hour,"Weekday (0=Sun, 6=Sat)",Inflation Rate (%),Electric Load (MW),Source
0.1546923845637332,1.060606435981563,0.3134856980222636,-0.6586096508083443,2.1947292907123366,19.523919914168438,1.119442792746991,-0.12045828835017891,0.46873074858711034,1,2007,0,1,13,2,0.5263399994415708,54617,Real
0.14590458272538007,0.7834085561538584,0.41129098548109955,-2.7431349716299116,3.928286078705458,21.194786449968497,0.821969735837678,-0.6122271110008002,0.24528331021145497,1,2007,5,0,0,2,0.7317986298327583,54064,Real
0.4213775482440379,0.7787297784418409,0.8394081835052603,7.832610346685034,47.48971372762974,18.998436040564727,0.7600143937822843,0.20105475934887504,0.5562469316037051,1,2007,4,0,21,3,0.6331314262901657,58804,Real
0.40654885716140565,0.9133699811524495,0.7794064790279742,7.5126127817504145,49.66282439017034,19.08016380228577,0.7787197391626716,0.4071138734468134,0.47531008633736516,1,2006,0,0,0,4,0.7775301251635313,55828,Real
0.7432112843278403,1.085008191346174,0.6512477983238167,4.296001193046344,35.58534508077112,21.50017474346415,0.42608991204476354,0.6700291675091257,0.6523617326936623,1,2008,4,6,12,0,1.26149700762655,76032,Real
0.7009063696220788,0.9317943172294009,1.781749330118743,7.752712640984718,46.277928386889,20.640975386063015,0.5366923261007442,1.332743975978384,0.5443341936363829,1,2007,0,0,14,0,0.7925393490679833,63030,Real
0.5966332899565356,1.0402643009091972,1.5504578643559155,8.409739638766604,32.451008396246316,20.457502619993054,0.6182212430182383,1.215748795284453,0.35215093869286707,1,2007,5,5,13,4,-0.1885223560172361,53827,Real
0.43882350556083544,0.819103164768262,1.7354180741786578,3.0397502972178443,29.938487097215003,21.694435708514874,0.6474608346482684,0.9995425628449011,0.45806122921834136,1,2008,0,0,19,3,0.6907022633042358,69602,Real
0.40353754027677824,0.9296689917663546,1.3224632609252498,2.1134150830107767,25.56326867193568,21.140597238184764,0.5619374106559056,1.1528855324420595,0.2540493261628503,1,2008,1,0,8,3,0.8751078397744618,49805,Real
0.5866021499045435,0.9495268283880309,-0.6095779957076104,1.06635993024918,8.101817099795094,20.276333821511397,0.7404310592773796,1.0921229558833792,0.4547647481503987,1,2007,0,0,19,4,0.5405078421393673,36598,Real
0.5238483570167417,0.8675582745414092,-0.06278004847047866,-2.8693631408089604,2.837560028493168,20.56089366464944,0.5733650235629975,0.6188726775487705,0.22060213506572074,1,2008,1,3,14,3,0.09192077058108222,74514,Real
0.4285512041798894,0.8313221513389999,0.11739241390955209,-1.4990501732021193,-25.68407752665728,21.78433111834031,1.0089722690329759,0.7387019360558588,0.35103109683698763,1,2006,2,0,13,4,0.4565496474120119,61453,Real
0.2790877526418058,0.9623698448922952,0.45042837626649235,0.4882612944673268,11.027267861728173,20.455368934079043,0.9348408693342702,1.0696732491695515,0.11259918520774514,1,2007,0,2,17,1,1.6010849613220475,48567,Real
